name,Subject_1,Subject_2,Subject_3,Author,Publisher,First Published ,Cluster Label,Category,id
Applications of conscious innovation in organizations,,,,"Jesus Enrique Portillo Pizana (Tecnológico de Monterrey University, Mexico), Sergio Ortiz Valdes (Tecnológico de Monterrey University, Mexico), Luis Miguel Beristain Hernandez (Tecnológico de Monterrey University, Mexico)","IGI Global, Disseminator of Knowledge",2018,1,Miscellaneous,52
Applied aspects of optical communication and LIDAR,Optical message technology,Lidar,,Nathan Blaunstein ...,CRC Press,2010,1,Miscellaneous,53
Applied behavioral economics research and trends,,,,"Rodica Ianole (University of Bucharest, Romania)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,54
Applied big data analytics and its role in COVID-19 research,,,,"Peng Zhao, Xi Chen",IGI Global,2022,1,Miscellaneous,55
Applied big data analytics in operations management,,,,"Manish Kumar (Indian Institute of Information Technology, Allahabad, India)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,56
Applied chaos and complexity theory in education,,,,"Şefika Şule Erçetin (Hacettepe University, Turkey)","Information Science Reference, an imprint of IGI Global",2016,1,Miscellaneous,57
Applied ethics in a digital world,New technology,digitalization,Applied ethics,"Ingrid Vasiliu-Feltes (University of Miami, USA), Jane Thomason (University College London, UK)",IGI Global,2022,1,Miscellaneous,58
Applied social science approaches to mixed methods research,,,,"[] Mette Lise Baran, Janice Elisabeth Jones",IGI Global,2020,1,Miscellaneous,59
Applied video processing in surveillance and monitoring systems,,,,"Nilanjan Dey (Techno India College of Technology, Kolkata, India), Amira Ashour (Tanta University, Egypt), Suvojit Acharjee (National Institute of Technology Agartala, India)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,60
Applying big data analytics in bioinformatics and medicine,,,,"Miltiadis D. Lytras (Deree - The American College of Greece, Greece), Paraskevi Papadopoulou (Deree - The American College of Greece, Greece)","IGI Global, Disseminator of Knowledge",2018,1,Miscellaneous,61
Applying business intelligence to clinical and healthcare organizations,,,,"José Machado (University of Minho, Portugal), António Abelha (University of Minho, Portugal)","Medical Information Science Reference, an imprint of IGI Global",2016,2,Business,62
Applying nanotechnology for environmental sustainability,,,,"Sung Hee Joo (University of Miami, USA)","IGI Global, Disseminator of Knowledge",2017,5,Environment,63
Applying neuroscience to business practice,,,,"Manuel Alonso Dos Santos (Universidad Católica de la Santísima Concepción, Chile)","IGI Global, Disseminator of Knowledge",2017,2,Business,64
Applying predictive analytics within the service sector,Service sector,Statistics,Big Data,"Rajendra Sahu (ABV-Indian Institute of Information Technology and Management, India), Manoj Dash (ABV-Indian Institute of Information Technology and Management, India), Anil Kumar (BML Munjal University, India)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,65
Arabidopsis book,,,,American Society of Plant Biologists,CSE,2004,1,Miscellaneous,66
Archaeology of the Hunter-Gatherers of the Central Mountains of Tierra del Fuego,,,, Hernan Horacio De Angelis,Springer International Publishing Springer,2021,1,Miscellaneous,67
Artificial intelligence,,,, Marco Antonio Aceves-Fernandez,IntechOpen,2023,1,Miscellaneous,68
Artificial Intelligence,,,," Eneko Osaba ; co-editors Esther Villar-Rodriguez, Jesus L. Lobo, Ibai Laña",IntechOpen,2023,1,Miscellaneous,69
Artificial intelligence applications in distance education,,,,"Utku Kose (Usak University, Turkey), Durmus Koc (Usak University, Turkey)","Information Science Reference, an imprint of IGI Global",2015,1,Miscellaneous,70
Assessment in Geographical Education: An International Perspective,,,," Theresa Bourke, Reece Mills, Rod Lane",Springer International Publishing Springer,2022,1,Miscellaneous,71
Assessment tools for mapping learning outcomes with learning objectives,,,,"G.R. Sinha (Myanmar Institute of Information Technology, Mandalay, Myanmar)","IGI Global, Publisher of Timely Knowledge",2021,1,Miscellaneous,72
Assistive technologies for physical and cognitive disabilities,,,,"Lau Bee Theng (Swinburne University of Technology, Malaysia)","Medical Information Science Reference, an imprint of IGI Global",2015,1,Miscellaneous,73
"Assistive technology research, practice, and theory",,,,"Boaventura DaCosta (Solers Research Group, USA), Soonhwa Seok (Korea University, South Korea)","Medical Information Science Reference, an imprint of IGI Global",2014,1,Miscellaneous,74
Augmented reality for enhanced learning environments,,,,"Gerardo Reyes Ruiz (Universidad Autónoma del Estado de México, Mexico), Marisol Hernández Hernández (Universidad Autónoma del Estado de México, Mexico)","IGI Global, Disseminator of Knowledge",2018,5,Environment,75
Australia and New Zealand,Australia,Regional studies,English class,comp. and   Martin Arndt ...,Langenscheidt-Longman,2010,1,Miscellaneous,76
Australia and New Zealand,Australia,Regional studies,English class,comp. and   Martin Arndt ...,Langenscheidt-Longman,2011,1,Miscellaneous,77
Automated enterprise systems for maximizing business performance,,,,"Petraq Papajorgji (Canadian Institute of Technology, Albania), François Pinet (National Research Institute of Science and Technology for Environment and Agriculture, France), Alaine Margarete Guimarães (State University of Ponta Grossa, Brazil), Jason Papathanasiou (University of Macedonia, Greece)","Business Science Reference, an imprint of IGI Global",2016,2,Business,78
Bank and Thrift Branch Office data book,,,,,,2001,1,Miscellaneous,79
Bank and Thrift Branch Office data book,,,,,,2001,1,Miscellaneous,80
Bank and Thrift Branch Office data book,,,,,,2001,1,Miscellaneous,81
Bank and Thrift Branch Office data book,,,,,,2001,1,Miscellaneous,82
Bank and Thrift Branch Office data book,,,,,,2001,1,Miscellaneous,83
Bank and Thrift Branch Office data book,,,,,,2001,1,Miscellaneous,84
Bank and Thrift Branch Office data book,,,,,,2001,1,Miscellaneous,85
Basic English for computing,English,Technical language,Data processing,Eric Glendinning,Oxford Univ. Pr.,2003,4,English,86
Basic technical English,English,Technical language,Technology,Jeremy Comfort ; Steve Hick ; Allan Savage,Oxford Univ. Press,2002,4,English,87
Be my guest,English,Hotel industry,Technical language,Francis O'Hara,Cambridge Univ. Press Klett-Sprachen,2002,1,Miscellaneous,88
Be my guest,English,Hotel industry,Technical language,Francis O'Hara,Cambridge Univ. Press Klett-Sprachen,2002,1,Miscellaneous,89
Be my guest,English,Hotel industry,Technical language,Francis O'Hara,Cambridge Univ. Press Klett-Sprachen,2003,1,Miscellaneous,90
Benzimidazole,,,, Pravin Kendrekar ; co-editor Vinayak Adimule,IntechOpen,2023,1,Miscellaneous,91
Big data,Big Data,data backup,Information Retrieval, Fei Hu,CRC Press,2016,1,Miscellaneous,92
Big data applications in the telecommunications industry,,,,"Ye Ouyang (Verizon Wirless, USA), Mantian Hu (Chinese University of Hong Kong, China)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,93
Big Data in small slices,Big Data,Data analysis,Visualization,Dianne M. Finch-Claydon,"Routledge, Taylor & Francis Group",2021,1,Miscellaneous,94
"Big data management, technologies, and applications",,,,"Wen-Chen Hu (University of North Dakota, USA), Naima Kaabouch (University of North Dakota, USA)","Information Science Reference, an imprint of IGI Global",2014,1,Miscellaneous,95
Big data-enabled internet of things,,,," Muhammad Usman Shahid Khan, Samee U. Khan and Albert Y. Zomaya",The Institution of Engineering and Technology,2019,1,Miscellaneous,96
Biochemical testing,,,," araprasad Bobbarala, co-editors Gaffar Sarwar Zaman, Mohd Nasir Mohd Desa, Abdah Akim",IntechOpen,2023,1,Miscellaneous,97
Biochemistry and health benefits of fatty acids,Fatty acids,Fat acid metabolism,, Viduranga Waisundara,IntechOpen,2023,1,Miscellaneous,98
Bioluminescence,Bioluminescence,biotechnology,, Hirobumi Suzuki,IntechOpen,2023,1,Miscellaneous,99
Biomedical computing for breast cancer detection and diagnosis,,,,"Wellington Pinheiro dos Santos (Universidade Federal de Pernambuco, Brazil), Washington Wagner Azevedo da Silva (Universidade Federal de Pernambuco, Brazil), Maira Araujo de Santana (Universidade Federal de Pernambuco, Brazil)","IGI Global, Publisher of Timely Knowledge",2021,11,Engineering/Technology,100
Blockchain applications in IoT security,,,,"Harshita Patel (Vellore Institute of Technology, India), Ghanshyam Singh Thakur (Maulana Azad National Institute of Technology, India)","IGI Global, Publisher of Timely Knowledge",2021,1,Miscellaneous,101
Blockchain Driven Supply Chains and Enterprise Information Systems,,,," Abdelaziz Bouras, Ibrahim Khalil, Belaid Aouni",Springer International Publishing Imprint: Springer,2023,1,Miscellaneous,102
Blue fairy book,,,,Andrew Lang,University of Virginia Library,1996,1,Miscellaneous,103
Book 1,,,, Francis Bacon,Oregon Renascence Editions,1995,1,Miscellaneous,104
Book 2,,,, Francis Bacon,Oregon Renascence Editions,1995,1,Miscellaneous,105
Book research quarterly,,,,"Transaction Periodicals Consortium, Rutgers University",Consortium,1985,1,Miscellaneous,106
Book-keeping and accounts,,,,"Sheila Robinson, BA(Hons), Cert Ed, FMAAT ; formerly  Frank Wood, BSc(Econ), FCA",Pearson,2018,1,Miscellaneous,107
Book-lore,,,,,,1884,1,Miscellaneous,108
Bookworm,,,,,,1888,1,Miscellaneous,109
Brain-computer interface,,,, Vahid Asadpour,IntechOpen,2022,14,Engineering/Technology,110
Bridges,English,,,,Klett,1993,1,Miscellaneous,111
Bridges,English,,,von Linda Gallasch ...,Klett,2000,1,Miscellaneous,112
Britain,Great Britain,Regional studies,,James O'Driscoll,Oxford Univ. Press,2009,1,Miscellaneous,113
Britannica book of the year,encyclopedia,,, Encyclopaedia Britannica Inc.,Encyclopaedia Britannica Inc.,1966,1,Miscellaneous,114
Britannica book of the year,encyclopedia,,, Encyclopaedia Britannica Inc.,Encyclopaedia Britannica Inc.,1996,1,Miscellaneous,115
British festivals,,,," Matthew Hancock, Michael Hinton and Barry Tomalin",Connect ELT Cornelsen,1999,1,Miscellaneous,116
BTEC National Applied Psychology Student Book,,,,"Elizabeth Barkham, Dr. Adam Gledhill, Susan Harty [and 2 others]",Pearson,2019,1,Miscellaneous,117
"BTEC tech award: sport, activity and fitness",,,,Jenny Stafford Brown,Pearson,2019,1,Miscellaneous,118
BTEC tech award: travel and tourism,,,,"Steve Ingle, Nikki Old, Tom Rock",Pearson,2019,1,Miscellaneous,119
Building equitable access to knowledge through open access repositories,Europe,Scientific literature,Open Access,"Nikos Koutras, University of Antwerp, Belgium",IGI Global,2020,1,Miscellaneous,120
Business Advantage,,,,Jonathan Birkin,Cambridge Univ. Press Klett Sprachen,2012,3,Business,121
Business Advantage,,,,Joy Godwin,Cambridge Univ. Press Klett Sprachen,2012,3,Business,122
Business Advantage,,,,Michael Handford,Cambridge Univ. Press Klett Sprachen,2012,3,Business,123
Business Benchmark,Business English Certificate,,,Guy Brook-Hart,Cambridge Univ. Press,2007,3,Business,124
Business Benchmark,Business English Certificate,,,Guy Brook-Hart,Cambridge Univ. Press,2007,3,Business,125
Business benchmark,Business English Certificate,,,,Cambridge Univ. Press Klett-Sprachen,2007,3,Business,126
Business benchmark,Business English Certificate,,,,Cambridge Univ. Press Klett-Sprachen,2007,3,Business,127
Business Benchmark,Business English Certificate,,,,Cambridge Univ. Press Klett,2007,3,Business,128
Business Benchmark,Business English Certificate,,,Guy Brook-Hart,Cambridge Univ. Press,2013,3,Business,129
Business Benchmark,Business English Certificate,,,Guy Brook-Hart,Cambridge Univ. Press,2013,3,Business,130
Business Benchmark,Business English Certificate,,,,Cambridge Univ. Press,2014,3,Business,131
Business Benchmark,English,Business language,,Norman Whit,Cambridge Univ. Press,2008,3,Business,132
Business Benchmark,English,Business language,,Norman Whit,Cambridge Univ. Press,2010,3,Business,133
Business Benchmark,English,Business language,,Guy Brook-Hart,Cambridge Univ. Press Klett,2013,3,Business,134
Business class,English,Business language,,David Cotton ; Sue Robbins,Longman,2001,3,Business,135
Business English certificate,English,Business language,,,Cornelsen & Oxford,2001,12,English,136
Business English handbook,English,Business language,,Paul Emmerson,Macmillan,2007,12,English,137
Business ethics,Corporate ethics,,,Joseph W. Weiss,"Berrett-Koehler Publishers, Inc.",2014,3,Business,138
Business infrastructure for sustainability in developing economies,,,,"Nilanjan Ray (Netaji Mahavidyalaya, India)","IGI Global, Disseminator of Knowledge",2017,3,Business,139
Business Partner B2,English,Business language,,Irene Barrall,Pearson,2018,3,Business,140
Business Partner C1,English,Business language,,Maria Karyda,Pearson,2021,3,Business,141
Business proficiency,English,Business language,,Stephanie Ashford ; Tom Smith,Klett,2010,3,Business,142
Business result - Advanced,English,Business language,,"Rachel Apple, Heidi Grant & Lynne White",Oxford University Press,2018,3,Business,143
Business result - Advanced,English,Business language,,"Kate Baade, Christopher Holloway, John Hughes, Jim Scrivener & Rebecca Turner",Oxford University Press,2018,3,Business,144
Business result - Upper-intermediate,English,Business language,,Michael Duckworth & Rebecca Turner ; Rachel Apple & John Hughes,Oxford Univ. Press,2018,3,Business,145
"Cambridge Academic English, Advanced",English class,,,Martin Hewings,Cambridge Univ. Press,2012,4,English,146
"Cambridge Academic English, Upper intermediate",English class,Teaching aid,,Martin Hewings,Cambridge Univ. Press,2012,4,English,147
Cambridge English empower advanced,,,,"Adrian Doff, Craig Thaine, Herbert Puchta, Jeff Stranks, Peter Lewis-Jones with Mark Hancock and Wayne Rimmer",Cambridge University Press,2016,4,English,148
Cambridge English for engineering,English,Technical language,Technology,Mark Ibbotson,Cambridge Univ. Press Klett,2008,6,English,149
Cambridge IGCSE physical education,,,,"Leon Fraser, Gareth Norman and Matthew Brown ; Leon Fraser, Gareth Norman and Matthew Brown",Collins,2017,1,Miscellaneous,150
Cases on communication disorders in culturally diverse populations,,,,Diane M. Scott,IGI Global,2020,1,Miscellaneous,151
Cases on digital strategies and management issues in modern organizations,,,,José Duarte Santos,"IGI Global, Publisher of timely knowledge",2022,1,Miscellaneous,152
Cases on human performance improvement technologies,,,,"Jill E. Stefaniak (Old Dominion University, USA)","Business Science Reference, an imprint of IGI Global",2015,1,Miscellaneous,153
Cases on leadership in adult education,,,,"Oitshepile MmaB Modise (University of Botswana, Botswana)","Information Science Reference, an imprint of IGI Global",2015,1,Miscellaneous,154
Cases on quality initiatives for organizational longevity,company,Organizational development,Quality management,"Archana Krishnan (PSG Institute of Management Coimbatore, India)","IGI Global, Disseminator of Knowledge",2018,1,Miscellaneous,155
Cases on STEAM education in practice,,,,"Judith Bazler (Monmouth University, USA), Meta Van Sickle (College of Charleston, USA)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,156
CDC Yellow book 2020,Tourism,,,"Editors in chief Gary W. Brunette, MD, MS and Jeffrey B. Nemhauser, MD",Oxford University Press,2019,1,Miscellaneous,157
Cell culture,,,, Xianquan Zhan,IntechOpen,2023,1,Miscellaneous,158
Challenges and opportunities of open educational resources management,library,Information competence,Literature,S. Thanuskodi,IGI Global,2020,1,Miscellaneous,159
"Challenges to integrating diversity, equity, and inclusion programs in organizations",,,,"Aaron J. Griffen (DSST Public Schools, USA)","IGI Global, Publisher of Timely Knowledge",2021,1,Miscellaneous,160
Changing urban landscapes through public higher education,,,,"Anika Spratley Burtin (University of the District of Columbia, USA), Jeffery S. Fleming (University of the District of Columbia, USA), Pamela Hampton-Garland (University of the District of Columbia, USA)","IGI Global, Disseminator of Knowledge",2018,1,Miscellaneous,161
Chemical properties of starch,,,, Martins Emeje,IntechOpen,2020,1,Miscellaneous,162
Chikungunya virus,,,, Jean Engohang-Ndong,IntechOpen,2023,1,Miscellaneous,163
China Internet Development Report 2019,,,,,Springer Singapore Springer,2021,1,Miscellaneous,164
China Internet Development Report 2020,,,,,Springer Nature Singapore Springer,2023,1,Miscellaneous,165
China’s e-Science Blue Book 2018,,,,,Springer Singapore Springer,2020,1,Miscellaneous,166
China’s e-Science Blue Book 2020,,,,,Springer Singapore Springer,2021,1,Miscellaneous,167
Christmas,,,, Washington Irving,Alex Catalogue,1995,1,Miscellaneous,168
Christmas Day,,,, Washington Irving,Alex Catalogue,1995,1,Miscellaneous,169
Christmas Eve,,,, Washington Irving,Alex Catalogue,1995,1,Miscellaneous,170
Circular economy and re-commerce in the fashion industry,Clothing,Circular economy,Electronic Commerce,"Archana Shrivastava, Geetika Jain, Justin Paul",IGI Global,2020,13,Miscellaneous,171
Classification and clustering in biomedical signal processing,,,,"Nilanjan Dey (Techno India College of Technology, India), Amira Ashour (Tanta University, Egypt)","Medical Information Science Reference, an imprint of IGI Global",2016,11,Engineering/Technology,172
Clinical concepts and practical management techniques in dentistry,,,, Aneesa Moolla,IntechOpen,2023,1,Miscellaneous,173
Cloud computing systems and applications in healthcare,,,,"Chintan M. Bhatt (Charotar University of Science & Technology, India), S.K. Peddoju (Indian Institute of Technology Roorkee, India)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,174
Cloud computing technologies for green enterprises,,,,"Kashif Munir (University of Hafr Al-Batin, Saudi Arabia)","IGI Global, Disseminator of Knowledge",2018,1,Miscellaneous,175
Cochrane handbook for systematic reviews of interventions,medicine,research,Evidence-based medicine,  Julian P. T. Higgins ...,Wiley-Blackwell,2008,1,Miscellaneous,176
Cognitive radio sensor networks,,,,"Mubashir Husain Rehmani (Department of Electrical Engineering, COMSATS Institute of Information Technology, Pakistan), Yasir Faheem (Department of Computer Science, COMSATS Institute of Information Technology, Pakistan)","Information Science Reference, an imprint of IGI Global",2014,1,Miscellaneous,177
Collaboration and student engagement in design education,,,,"Richard Tucker (Deakin University, Australia)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,178
Collaborative filtering using data mining and analysis,,,,"Vishal Bhatnagar (Ambedkar Institute of Advanced Communication Technologies and Research, India)","Information Science Reference, an imprint of IGI Global",2017,1,Miscellaneous,179
Collaborative knowledge in scientific research networks,,,,"Paolo Diviacco (Istituto Nazionale di Oceanografia e di Geofisica Sperimentale (OGS), Italy), Peter Fox (Rensselaer Polytechnic Institute, USA), Cyril Pshenichny (Geognosis Project, ITMO University, Russia), Adam Leadbetter (British Oceanographic Data Centre, NERC, UK)","Information Science Reference, an imprint of IGI Global",2015,1,Miscellaneous,180
Communicating across cultures,English,Communication training,,,Klett Cambridge Univ. Press,2011,1,Miscellaneous,181
Communicating project management,Information technology,programming,Communication,Benjamin Lauren,Routledge,2018,1,Miscellaneous,182
Company to company,English,Business letter,,Andrew Littlejohn,Cambridge Univ. Press,2005,1,Miscellaneous,183
Company to company,English,Business letter,,Andrew Littlejohn,Cambridge Univ. Press,2007,1,Miscellaneous,184
Comparative economics and regional development in Turkey,,,,"Bryan Christiansen (PryMarke, LLC, USA), M. Mustafa Erdoğdu (Marmara University, Turkey)","Business Science Reference, an imprint of IGI Global",2016,1,Miscellaneous,185
Comparative perspectives on global corporate social responsibility,,,,"Dima Jamali (American University of Beirut, Lebanon)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,186
Competence-based innovation in hospitality and tourism,holiday destination,Innovation potential,Innovation management," Harald Pechlaner, Elisa Innerhofer",Routledge,2016,1,Miscellaneous,187
Complete guide to the TOEIC Test,TOEIC,,,Bruce Rogers,Thomson Hueber,2006,1,Miscellaneous,188
Computational and cognitive approaches to narratology,Narrative technique,Computerlinguistik,Cognitive science,"Takashi Ogata (Iwate Prefectural University, Japan), Taisuke Akimoto (The University of Electoro-Communications, Japan)","Information Science Reference, an imprint of IGI Global",2016,1,Miscellaneous,189
Computational intelligence in remanufacturing,,,,"Bo Xing (University of Pretoria, South Africa), Wen-Jing Gao (Mei Yuan Mould Design and Manufacturing Co., Ltd, China)","Information Science Reference, an imprint of IGI Global",2014,1,Miscellaneous,190
Computational statistics,R <rogram>,Statistics,,Günther Sawitzki,CRC Press,2009,1,Miscellaneous,191
Computational techniques for modeling atmospheric processes,,,,"Vitaliy Prusov (University of Kyiv, Ukraine), Anatoliy Doroshenko (National Academy of Sciences, Ukraine)","IGI Global, Disseminator of Knowledge",2018,1,Miscellaneous,192
Computational tools and techniques for biomedical signal processing,,,,"Butta Singh (Guru Nanak Dev University, India)","IGI Global, Disseminator of Knowledge",2017,11,Engineering/Technology,193
