Book Name,Cluster Label
In company - pre-intermediate,1
Increasing productivity and efficiency in online teaching,1
Indigenous ecotourism,1
Information quality and governance for business intelligence,2
Information security in diverse computing environments,5
Information seeking behavior and challenges in digital libraries,1
Information technology applications for crisis response and management,1
Informed Urban Environments,1
Infotech,1
Innovations,1
Innovations,1
Innovations,1
Innovations,1
Innovations in digital branding and content marketing,7
Innovations in measuring and evaluating scientific information,1
Innovative applications of nanowires for circuit design,1
Innovative perspectives on tourism discourse,1
Innovative solutions for access control management,1
Innovative solutions for building community in academic libraries,1
Innovative techniques and applications of entity resolution,1
IntechOpen book series. Artificial intelligence,1
IntechOpen book series. Biochemistry,1
"IntechOpen book series. Business, management and economics",3
IntechOpen book series. Dentistry,1
IntechOpen book series. Environmental sciences,1
IntechOpen book series. Infectious diseases,1
IntechOpen book series. Physiology,1
IntechOpen book series. Sustainable development,1
IntechOpen book series. Veterinary medicine and science,1
Integrating art and creativity into business practice,2
"Integrating business management processes, Volume 1: Management and core processes",2
"Integrating business management processes, Volume 2: Support and assurance processes",2
Integrating cognitive architectures into virtual character design,1
Integrating technology in positive psychology practice,1
Integration and implementation of the Internet of things through cloud computing,1
"Integration challenges for analytics, business intelligence, and data mining",2
Intelligent analysis of multimedia information,1
Intelligent business,2
Intelligent business,2
Intelligent business,2
Intelligent business,2
Intelligent business,2
Intelligent business,2
Intelligent business,2
Intelligent Multidimensional Data Clustering and Analysis,1
Intelligent technologies and techniques for pervasive computing,1
Interdisciplinary approaches to spatial optimization issues,1
Interdisciplinary digital preservation tools and technologies,1
Interdisciplinary perspectives on contemporary conflict resolution,1
International business ethics and growth opportunities,2
International business in Latin America,2
International express,1
International express,1
International express,1
International express,1
International express,1
International express,1
Introduction to light emitting diode technology and applications,1
Introduction to project management,1
Introductory statistics for the health sciences,1
Island tourism,1
Keratin,1
Knowledge integration strategies for entrepreneurship and sustainability,1
Knowledge management case book,1
Knowledge management strategies,1
Latin Vulgate book titles & names,1
Le morte Darthur ; Vol. 1,1
Le morte Darthur ; Vol. 2,1
Leadership in a changing world,1
Leading Healthcare IT,1
"Leading schools with social, emotional, and academic development (SEAD)",1
Lean system management for leaders,1
Lean technical communication,1
Learner experience and usability in online education,1
Let's enjoy English,4
Let's enjoy English,4
Let's talk,1
"Library of history, Book XVI, chapter 14, The battle of Chaeronea",1
Ligeti’s Macroharmonies,1
Little Britain,1
Logos,1
London antiques,1
Louisiana employment and wages,1
Machine learning,1
Machine learning and its applications,1
Machine learning applications in non-conventional machining processes,1
Machinery's handbook,1
Maintaining sustainable accounting systems in small business,2
Management and participation in the public sphere,1
Management consultancy insights and real consultancy projects,1
Management education for global leadership,1
Managerial approaches toward queuing systems and simulations,1
Managing,1
Managing big data integration in the public sector,1
"Managing diversity, innovation, and infrastructure in digital business",2
Maps of Quality of Life in Argentina Since the 19th Century,1
Market Leader,1
Market Leader,1
Market Leader,1
Market leader,1
Market leader,1
Market leader,1
Market leader,1
Market leader,1
Market leader,1
Market Leader,1
Market Leader,1
Market Leader,1
Market leader,1
Market leader,1
Market leader,1
Market leader,1
Market leader,1
Market Leader,1
Market leader advanced,1
Market leader upper intermediate,1
Mathematics pocket book for engineers and scientists,1
Matter and consciousness,1
Measuring the validity of usage reports provided by e-book vendors,1
Mechanics of robotic manipulation,1
Medical epidemiology,1
Medicine,1
Medicine,1
Medicine,1
Medicine,1
Memorial book The gypsies at Auschwitz-Birkenau,1
Memorial book The gypsies at Auschwitz-Birkenau,1
"Memory, identity, and nationalism in European regions",1
Metabolomics,1
Metaphysics ; Book I,1
Meteorology: Book I,1
Methods and paradigms in education research,1
Methods for analyzing and leveraging online learning data,1
Microbial biotechnology in environmental monitoring and cleanup,5
"Mobile application development, usability, and security",1
Mobile pedagogy and perspectives on teaching and learning,1
Mobilities in India,1
Modeling and simulation techniques for improved business processes,2
Modeling and simulation techniques in structural engineering,0
Modern industrial services,1
Modern perspectives on virtual communications and social networking,1
Molecular plant breeding and genome editing tools for crop improvement,1
Motivationally intelligent leadership,1
Moving into mechanical engineering,0
Moving into mechanical engineering,0
Moving into tourism & hospitality,1
Multicultural andragogy for transformative learning,1
Multidimensional perspectives on principal leadership effectiveness,1
Multidisciplinary approach to modern digital steganography,1
Multidisciplinary perspectives in cryptology and information security,1
Multinational enterprise management strategies in developing countries,1
Music and messaging in the African political arena,1
Narrative and discursive approaches in entrepreneurship,1
Nascent entrepreneurship and successful new venture creation,1
"Nature-based tourism, environment, and land management",5
Network attacks and defenses,1
Network security attacks and countermeasures,1
Network security technologies,1
Neurotechnology for biomimetic robots,1
"New aesthetic thought, methodology, and structure of systemic philosophy",1
New headway English course,4
New headway English course,4
New headway pronunciation course,1
New headway pronunciation course,1
New headway pronunciation course,1
New inside out,1
New Insights into business,2
New Insights into business,2
New Insights into business,2
New Insights into business,2
New international business English,9
New methods and paradigms for modeling dynamic processes based on cellular automata,1
Newnes mathematics pocket book for engineers,1
Next generation wireless network security and privacy,1
Nitrogen fixation,1
Novel approaches for drug Delivery,1
Numerical mathematics and computing,1
Objective proficiency,1
Objective proficiency,1
Oil and Natural Gas Economy in Argentina,1
On competition,1
On point,1
On point,1
On point,1
On point,1
On point,1
On point,1
On point,1
On point,1
Online banking security measures and data protection,1
Ontologies and big data considerations for effective intelligence,1
"Operation, construction, and functionality of direct rurrent machines",10
Optimal inventory control and management techniques,1
Optimizing assistive technologies for aging populations,1
Optimizing health monitoring systems with wireless technology,1
Optimizing medicine residency training programs,1
Optimizing student engagement in online learning environments,5
Optimum decision making in asset management,1
Optoelectronics in machine vision-based theories and applications,10
Oral health by using probiotic products,1
Organizational change management strategies in modern business,2
Organizational culture and ethics in modern medicine,1
Outlooks and opportunities in blended and distance learning,1
Oxford English for electrical and mechanical engineering,6
Oxford English for electrical and mechanical engineering,6
Oxford English for information technology,4
Oxford English for information technology,4
Oxford English grammar course,4
Oxford preparation course for the TOEIC test,1
Oxford tactics for the TOEIC test,1
Oxidoreductase,1
PASS Cambridge BEC Higher,1
PASS Cambridge BEC Higher,1
PASS Cambridge BEC Higher,1
PASS Cambridge BEC Higher,1
PASS Cambridge BEC Higher,1
Pass Cambridge BEC Preliminary,1
Pass Cambridge BEC Preliminary,1
Pass Cambridge BEC Preliminary,1
Pass Cambridge BEC Preliminary,1
Pass Cambridge BEC Vantage,1
Pass Cambridge BEC Vantage,1
Pass Cambridge BEC Vantage,1
Pass Cambridge BEC Vantage,1
Pattern and data analysis in healthcare settings,1
Pattern recognition and classification in time series data,1
Pearson BTEC National travel and tourism student book,1
Pectins,1
Peer Gynt's onion,1
Periodontology,1
Persian paradises at peril,1
Persistent Organic Pollutants (POPs),1
"Petrochemical catalyst materials, processes, and emerging technologies",1
Phenolic compounds,1
"Philip of Pokanoket, an Indian memoir",1
Philosophical perceptions on logic and order,8
Physics.,1
Plant stress physiology,1
Pneumonia,1
Pole dance fitness,1
Positioning and navigation in complex environments,5
Practical cryptography,1
Practice and progress in social design and sustainability,1
Prebiotics and probiotics,1
Problems on Algorithms,1
Proceedings of the 3rd global summit of research institutes for disaster risk reduction,1
Proceedings of the 4th Global Summit of Research Institutes for Disaster Risk Reduction,1
Processing techniques and tribological behavior of composite materials,8
"Production, properties, and applications of high temperature coatings",1
Programming Rust,1
Progress to vantage,1
Progress to vantage,1
Progressive engineering practices in marine resource management,0
Progressive trends in electronic resource management in libraries,1
Project Management for Performance Improvement Teams,1
Project management planning,1
Promoting climate change awareness through environmental education,5
Promoting global competencies through media literacy,1
Promoting global environmental sustainability and cooperation,5
Pronunciation for advanced learners of English,4
Protein detection,1
Protein kinases,1
Public health genomics and international wealth creation,1
Publishing history,1
Publishing research quarterly,1
Quality assurance and certification in ecotourism,1
Quality innovation,1
Quality management for competitive advantage in global markets,7
Quantum and optical dynamics of matter for nanotechnology,1
Quick work,1
Rabies virus at the beginning of 21st Century,1
Re-envisioning and restructuring blended learning for underprivileged communities,1
Reactive oxygen species,1
Ready to order,1
Recent advancements in bioremediation of metal contaminants,1
Recent advances in drug delivery technology,1
Recent advances in intelligent technologies and information systems,1
Redefining theory and practice to guide social transformation,1
Redefining translation and interpretation in cultural evolution,1
Reforming teacher education for online pedagogy development,1
Regaining global stability after the financial crisis,1
Remote workforce training,1
Reputation management techniques in public relations,1
Resilient Smart Cities,1
"Rethinking organizational diversity, equity, and inclusion",1
Revolutionizing enterprise interoperability through scientific foundations,1
RFID technology integration for business performance improvement,2
Rip Van Winkle,1
Roscoe,1
Rural funerals,1
Rural life in England,1
Safety first,1
Safety first,1
Scholarly publishing and research methods across disciplines,1
Securing the cloud,1
Security management in mobile cloud computing,1
Self-driving vehicles and enabling technologies,1
Senior Design Projects in Mechanical Engineering,1
Shifting to online learning through faculty collaborative support,1
Ship Operation Technology,1
Shopping for good,1
Skillful - listening & speaking,1
Skillful - listening & speaking,1
Skillful - reading & writing,1
Skillful - reading & writing,1
Slum development in India,1
Small Town Tourism in South Africa,1
"Smart cities, citizen welfare, and the implementation of sustainable development goals",1
Smart technologies in healthcare,1
Smithells metals reference book,1
Social considerations of migration movements and immigration policies,1
Social media data extraction and content analysis,1
Social media performance evaluation and success measurements,1
Social network analytics for contemporary business organizations,2
Soft computing techniques and applications in mechanical engineering,0
Software engineering with UML,0
Software testing,1
Solar concentrating modules with louvered heliostats,1
Spatial analysis techniques using MyGeoffice,1
Speakout advanced,1
Speakout upper intermediate,1
"Special library administration, standardization and technological integration",8
Starch,1
Statistical abstract of the United States,1
Statistical methods for global health and epidemiology,1
Statistics,1
Stochastic processes and models in operations research,1
Strategic approaches to digital platform security assurance,1
Strategic learning ideologies in prison education programs,1
Strategic management of sustainable manufacturing operations,1
"Strategies for attracting, maintaining, and balancing a mature workforce",1
Strategies for business sustainability in a collaborative economy,2
Strategies for innovators,1
Strategies for innovators,1
Strategies for student support during a global crisis,1
Stratford-on-Avon,1
Structural stability and morphogenesis,1
Student culture and identity in higher education,1
Success with BEC higher,1
Success with BEC higher,1
Success with BEC preliminary,1
Success with BEC preliminary,1
Success with BEC vantage,1
Success with business,2
Success with business,2
Success with business,2
Success with business,2
Success with business,2
Success with business,2
Sustainability and management,1
Sustainable logistics and strategic transportation planning,1
"Sustainable nanosystems development, properties, and applications",1
Sustaining power resources through energy optimization and engineering,0
Swarm intelligence,1
Systems research for real-world challenges,1
Tactics for TOEIC,1
Take-off,1
Take-off,1
Target cost management,1
Teaching research methods in public administration,1
Tech talk,1
Tech talk,1
Tech talk,1
Tech talk,1
Tech talk,1
Tech talk,1
Tech talk,1
Technical English,4
Technical English,4
Technical English,4
Technical English,4
Technical English,4
Technical English,4
Technical English,4
Technical English,4
Technical English,4
Technical English,4
Technical English,4
Technical English for beginners,4
Technological breakthroughs in modern wireless sensor applications,8
Technology,1
Technology,1
Technology enhanced learning,1
Technology for engineering & applied sciences,0
Technology management in organizational and societal contexts,1
The African book publishing record,1
The antiracist world language classroom,1
The art book,1
The art of book-making,1
The author's account of himself,1
The Basics of Filmmaking,1
The benchmarking book,1
The bibliographer,1
The big book of marketing,7
The big book of meeting games,1
The big book of simulation modeling,1
The big book of Six Sigma training games,1
The big book of virtual teambuilding games,1
The blue fairy book,1
The bonefolder,1
The book of common prayer,1
The book of Job,1
The Book of Mormon,1
The book of tea,1
The broken heart,1
The business,2
The business,2
The business,2
The business 2.0,2
The business book,2
The business model book,2
The business student's phrase book,2
The case book of Sherlock Holmes,1
The CDA TM book,1
The CDA TM book,1
The Christmas dinner,1
The cloud computing book,1
The complete lean enterprise,1
The country church,1
The cover letter book,1
The customer experience book,1
The CV book,1
The CV book,1
The CV book,1
The Design Hotels book,1
The Design Hotels book,1
The dialectics of urban and architectural boundaries in the Middle East and the Mediterranean,1
The economics book,1
The economics of climate change in Argentina,1
The englishwoman's year book and directory,19
The fifth discipline fieldbook,1
The future of health economics,1
The Geography of Albania,1
The Geography of Bosnia and Herzegovina,1
The Geography of Contemporary China,1
The Geography of Uzbekistan,1
The green six sigma handbook,1
The hedge fund book,1
The industrial ethernet book,1
The inn kitchen,1
The Internet of Things and Big Data Analytics,1
The interview book,1
The interview question & answer book,1
The jungle book,1
The Kubernetes book,1
The life and afterlife of gay neighborhoods,1
The little black book of change,1
The little book of modern verse,1
"The Magnolia, or Southern monthly",1
The marketing book,7
The marketing book,7
The nature of cognition,1
The nonprofit risk book,1
The Pfeiffer book of successful team-building tools,1
The picture book of quantum mechanics,1
The presentation book,1
The Presidents report,1
The principles of thermodynamics,1
The project book,1
The psychology book,1
The Python book,1
The red fairy book,1
The retail start-up book,1
The role of islamic spirituality in the management and leadership process,1
The science book,1
The second jungle book,1
The secret book,1
The silent language,1
"The sketch book of Geoffrey Crayon, gent",1
The soils of Aotearoa New Zealand,1
The soils of Japan,1
The soils of Libya,1
The soils of Nepal,1
The soils of Nevada,1
The Soils of Oregon,1
The spectre bridegroom,1
The stage coach,1
The strategy book,1
The student phrase book,1
The three taverns,1
The ultimate interview book,1
The ultimate job hunting book,1
The violence-free workplace,1
The violet fairy book,1
The voyage,1
The Westside Barbell book of methods,1
The widow and her son,1
The wife,1
The woman suffrage year book,1
The workshop book,1
The yearbook of the National Council of Women of Canada,1
The yellow book,1
The yellow fairy book,1
Theoretical and practical advancements for fuzzy system integration,1
Theoretical and practical approaches to social innovation,1
Therapeutic jurisprudence and overcoming violence against women,1
Theurban transformation of Sarajevo,1
Tools and techniques for economic decision analysis,1
Tools for mobile multimedia programming and development,17
Tourism,1
Tourism,1
Tourism,1
Tourism in central Asia,1
"Tourism, cultural heritage and urban regeneration",1
Toxicity and waste management using bioremediation,1
Traits of Indian character,1
Transformative curriculum design in health sciences education,1
Transformative healthcare practice through patient engagement,1
Transformative practice and research in organizational communication,1
Transforming gaming and computer simulation technologies across industries,14
Transforming public health in developing nations,1
Transforming the internet of things for next-generation smart systems,1
Transforming urban nightlife and the development of smart public spaces,1
Transitioning from globalized to localized and self-reliant economies,1
Travel & tourism,1
Ubiquitin,1
Uncertainties and risk assessment in trade relations,1
Understanding Emergent Urbanism,1
Understanding extrusion,1
Understanding Ubuntu for enhancing intercultural communications,1
United Kingdom balance of payments,1
United Kingdom input-output analyses,1
Urban Crime Prevention,1
Urban Design in Seismic-Prone Regions,1
Urban geography in postcolonial Zimbabwe,1
Urban Morphology,1
Using decision support systems for transportation planning efficiency,1
Using R for introductory statistics,1
Utilizing consumer psychology in business strategy,2
Vagueness,1
Value relevance of accounting information in capital markets,7
Video surveillance techniques and technologies,1
Visual ethics,1
